"2018-12-06 [restartedMain] INFO  c.i.r.r.RestfulWebservicesApplication - Starting RestfulWebservicesApplication on Desktop with PID 352 (C:\GIT\RepoProject\restful-webservices\target\classes started by Administrator in C:\GIT\RepoProject\restful-webservices)
""2018-12-06 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2018-12-06 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2018-12-06 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2018-12-06 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 103ms. Found 1 repository interfaces.
""2018-12-06 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$518807b3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-12-06 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7670 (http)
""2018-12-06 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2018-12-06 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.12
""2018-12-06 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_181\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:/Program Files/Java/jre1.8.0_181/bin/server;C:/Program Files/Java/jre1.8.0_181/bin;C:/Program Files/Java/jre1.8.0_181/lib/amd64;E:\Maven\apache-maven-3.5.4-bin\apache-maven-3.5.4\bin;C:\Windows\System32\ipconfig.exe;C:\Program Files\IBM\IIB\10.0.0.8\server\bin\mqsiprofile.cmd;C:\Program Files\Java\jdk1.8.0_111\bin;C:\Windows\System32\ipconfig.exe;C:\WINDOWS\system32;D:\GIT\Git\cmd;;E:\DATA\eclipse-jee-photon-R-win32-x86_64\eclipse;;.]
""2018-12-06 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
